,Country,badteeth,literacy_avg,water_avg,GDP_avg,sugar_avg,health_avg
0,Albania,3.02,98.71297807768671,88.0,1011.7526949438703,49.504318181818185,24.751386561111108
1,Algeria,2.3,59.7521926391738,90.4,1625.1409886954677,67.99522727272726,50.42449019222222
2,Angola,1.7,67.4054160382926,38.4,318.73994880079124,33.12909090909092,12.275108348888889
3,Antigua and Barbuda,0.7,98.95,98.0,7874.822797813481,98.44318181818184,259.9966060466666
4,Argentina,3.4,95.74478904900513,99.0,6638.2520485617715,111.45818181818184,322.04153774777774
5,Armenia,2.4,99.07606072349509,96.2,572.5207259392198,42.99538461538462,9.518863241111111
6,Bangladesh,1.0,37.34400946599583,95.0,280.2142877707718,24.037272727272715,24.81463282333333
7,Belarus,2.7,98.7370522885605,98.0,1196.0230429721082,100.52692307692308,64.07920136888889
8,Belize,0.6,70.29842263651689,88.8,1932.643032787864,123.6,73.23901745444444
9,Benin,0.8,26.1286305304203,61.0,299.68940908689524,8.469090909090907,8.155447623333334
10,Bosnia and Herzegovina,4.8,96.6630984459784,96.2,1163.3778822335987,45.10153846153847,60.38248778111112
11,Botswana,0.5,74.88480924069324,77.4,1447.7758921168831,55.97772727272727,100.19004658
12,Brazil,2.8,80.47730402786576,94.4,2874.645370270936,130.69977272727272,118.37735196111112
13,Bulgaria,4.4,98.2035557670328,100.0,1528.3166589279474,88.16863636363632,68.94369369555555
14,Burkina Faso,0.7,14.231365643784411,47.4,160.36981850747537,8.22,5.087515746666666
15,Burundi,1.0,39.73229845764293,52.8,148.41139892254373,4.234545454545454,2.2970288366666667
16,Cambodia,2.3,67.33502955714211,55.2,260.03840879928987,15.443636363636365,5.200192814444445
17,Cameroon,1.5,54.812685276382254,56.6,589.1923375745217,14.945454545454544,6.689614255555556
18,Chile,3.4,93.71205491709337,96.2,2870.514653986252,105.60454545454544,151.57889511666664
19,China,1.03,78.07011824734566,80.0,336.8786522118102,13.886818181818184,15.804349178888888
